net,length_um
net1,62.16
_00_,60.52
net5,50.88
net15,50.58
net6,46.18
net2,43.6
net9,38.08
net3,35.84
_01_,34.52
net7,34.44
net4,28.36
net10,24.88
net13,24.04
net14,22.16
net12,22.08
_02_,21.54
_05_,20.84
_03_,19.86
net11,17.62
net16,17.48
_04_,17.44
_06_,15.38
net8,13.92
in[7],12.79
out[0],11.89
in[0],10.73
out[7],10.61
_07_,10.32
in[2],6.91
out[6],6.69
in[1],6.65
in[5],6.31
in[3],5.97
out[5],5.29
in[4],4.95
in[6],4.61
out[3],4.27
_08_,4
out[1],3.93
out[2],3.93
out[4],3.93
